description,category
Supply and erection of EV charging station 22KW DC fast as per approved make,Other
Supplying and laying cement fibre board for external cladding,Civil
Providing and fixing cooling tower steel 80TR with all fittings,Other
Rate for manual call point for fire alarm addressable as directed by engineer,Fire
Providing and fixing sprinkler head upright type 141C rating,Fire
Supply and fixing of sump pump 0.5HP for utility area including all accessories,PHE
Installation of ceiling rose and batten holder for decorative light as per approved make,Electrical
Supplying and laying motorized fire damper 400x300mm including testing and commissioning,HVAC
Supply and erection of battery bank 42AH SMF for emergency lighting complete in all respects,Other
Installation of ACP cladding 6mm for building facade including testing and commissioning,Other
Supplying and laying non return valve 40mm for hot water line including testing and commissioning,Plumbing
Installation of IBMS integration for HVAC and lighting complete in all respects,Other
Supplying and laying portable fire extinguisher foam 9kg,Fire
Rate for copper pipe 3/4 inch for AC refrigerant with warranty,Other
Supply and installation of package AC unit 5TR rooftop with duct connection complete in all respects,HVAC
Installation of flexible duct connector 200mm for FCU,HVAC
Supply and erection of exhaust air fan centrifugal type 900mm with motor including testing and commissioning,HVAC
Rate for concealed shower mixer with overhead shower as per IS standards,Plumbing
Rate for condensate pump for ceiling cassette AC as per drawing,HVAC
Supply and fixing of VRV outdoor unit 14HP for office building with all fittings,Other
Rate for STP plant 10KLD MBR technology as directed by engineer,PHE
Providing and laying VRV branch selector box for wing control,HVAC
Providing and fixing bottle trap 40mm brass for wash basin as per specification,Plumbing
Rate for fire suppression CO2 system for server room as directed by engineer,Fire
Procurement and installation of solar panel 20KW carport for grid tied with all fittings,Other
Procurement and installation of AHU 15TR horizontal with mixing box as per IS standards,HVAC
Supply and erection of duct insulation 25mm ceramic fibre with aluminium cladding with warranty,HVAC
Supply and installation of industrial plug and socket 16A 3 pin with warranty,Electrical
Installation and commissioning of FRP door frame and shutter for bathroom,Civil
Providing and laying anodized aluminium door with hardware fittings with all fittings,Civil
Installation of storm water drain in RCC with cover slab as directed by engineer,Civil
Supply and erection of storm water drain pipe 200mm hume pipe with warranty,PHE
Supplying and fixing surface drainage channel 150mm SS as per IS standards,PHE
Supplying and fixing thermal insulation 19mm glass wool for chilled water pipe as per drawing,HVAC
Rate for pre-insulated duct panel 25mm phenolic board as per specification,HVAC
Installation and commissioning of epoxy flooring 3mm thick for warehouse as per IS standards,Civil
Supplying and fixing cable gland nylon type for mineral insulated cable as per approved make,Electrical
Supplying fresh air handling unit 3000 CFM with HEPA filter as per IS standards,HVAC
Supply and installation of roof insulation with mineral wool board 50mm thick including testing and commissioning,Civil
Installation and commissioning of signage board brass wayfinding,Other
Supply and fixing of air valve 50mm for pumping main including testing and commissioning,Plumbing
Supplying and laying HDPE geomembrane 0.5mm for tank lining with warranty,PHE
Supply and erection of rainwater harvesting storage tank for groundwater recharge complete in all respects,PHE
Supply and erection of ceiling cassette AC unit 1.5 ton with drain pump including all accessories,HVAC
Supply and fixing of aeration system diffused air for oxidation ditch including all accessories,PHE
Installation of intercom system video for school with all fittings,Other
Procurement and installation of waterproof membrane for basement with SBS membrane complete in all respects,Civil
Providing and laying RCC raft foundation M30 grade with reinforcement with warranty,Civil
Supplying and laying water cooler with storage tank for school,Other
Installation and commissioning of linear slot diffuser 900mm complete in all respects,HVAC
Providing and laying acoustic ceiling tiles 600x1200mm with concealed grid as per specification,Other
Providing and fixing CI manhole frame and cover 450x450mm light duty including testing and commissioning,PHE
Providing and fixing fire alarm hooter cum strobe addressable as per IS standards,Fire
Supplying damp proof course with polyethylene sheet membrane including labour and material,Civil
Supplying PPR pipe 50mm for hot water supply including testing and commissioning,Plumbing
Supplying and fixing kitchen sink double bowl SS with basket strainer as per approved make,Plumbing
Rate for booster water supply pump 3HP as per drawing,Plumbing
Supply and erection of sprinkler head pendent type 68C rating including all accessories,Fire
Supply and erection of EPABX system 128 port for hospital as directed by engineer,Other
Supply and erection of fire damper 600x400mm with fusible link including all accessories,Fire
Supplying and laying condensate pump for ceiling cassette AC as per specification,HVAC
Providing and installing exterior cement based paint 2 coats for boundary wall as per specification,Civil
Providing and fixing flexible duct connector 500mm for fan complete in all respects,HVAC
Procurement and installation of sewage ejector pump 2HP for sump as per IS standards,PHE
Procurement and installation of LED panel light 15W surface mounted as per drawing,Electrical
Providing and fixing fire sprinkler upright type for server room as per approved make,Fire
Providing fire rated door 3 hour rating with vision panel,Fire
Rate for fresh air handling unit 1000 CFM with UV sterilizer including testing and commissioning,HVAC
Supply and erection of fire hose cabinet MS with extinguisher space including all accessories,Fire
Supply and erection of stone masonry coursed rubble wall with cement mortar including labour and material,Civil
Supplying and fixing grease trap 200L RCC for bakery,PHE
Procurement and installation of fire escape ladder GI 15m with all fittings,Fire
Supply and fixing of cooling tower hybrid 100TR as per approved make,Other
Procurement and installation of passenger lift 13 person geared traction with warranty,Other
Installation and commissioning of servo stabilizer 50KVA for IT load including labour and material,Electrical
Supply and erection of HDPE geomembrane 2mm for tank lining including testing and commissioning,PHE
Supply and fixing of PVC pipe 160mm for vent stack with warranty,Plumbing
Providing and fixing fire alarm cable 2.5mm 6 core unshielded as per approved make,Fire
Providing and laying smoke detector addressable for office as per approved make,Fire
Installation of energy recovery ventilator 500 CFM with controls as directed by engineer,HVAC
Supplying bathroom mirror with anti-fog as directed by engineer,Plumbing
Supplying and laying chilled water pump split case 10HP including all accessories,HVAC
Providing and laying condenser water piping 100mm GI with painting including testing and commissioning,HVAC
Supplying battery bank 65AH gel for UPS complete in all respects,Other
Providing and laying submersible sewage pump 2HP with float switch with all fittings,PHE
Supplying fire resistant paint coating for duct with all fittings,Fire
Providing and fixing LED flood light 30W for warehouse as per specification,Electrical
Rate for battery bank 42AH SMF for DG starting with all fittings,Other
Rate for CPVC pipe 50mm for hot water supply as per drawing,Plumbing
Supply and erection of CPVC pipe 50mm for cold water supply including testing and commissioning,Plumbing
Procurement and installation of weatherproof switch socket IP65 rated including labour and material,Electrical
Supply and fixing of oil and grease separator 100L for fuel station with warranty,PHE
Supply and erection of bathroom mirror with anti-fog including all accessories,Plumbing
Supply and installation of aeration system diffused air for lagoon including testing and commissioning,PHE
Supplying and laying beam detector for fire alarm 80m range,Fire
Supplying and laying server rack 22U floor standing with cable management as directed by engineer,Other
Procurement and installation of UPS power socket with dedicated circuit with all fittings,Electrical
Supplying expansion vessel 100L for condenser water system as per approved make,HVAC
Supply and erection of MCB 25A single pole for AC circuit as per drawing,Electrical
Providing and fixing fire blanket 1.2x1.8m for workshop as per IS standards,Fire
Providing and laying fan coil unit 2 pipe ceiling concealed including labour and material,HVAC
Rate for foam fire extinguisher 45L for chemical store including labour and material,Fire
Procurement and installation of fire rated glass partition 1 hour for lobby including labour and material,Fire
Supplying and laying RCC raft foundation M25 grade with reinforcement,Civil
Supply and erection of cable termination and heat shrinking for HT cable as directed by engineer,Electrical
Providing and fixing pressurization fan for staircase 10000 CFM as per approved make,HVAC
Supply and erection of terrazzo flooring 20mm thick with brass strips including all accessories,Civil
Supply and erection of exhaust fan 150mm with wiring and humidity sensor as per IS standards,Electrical
Installation and commissioning of LED flood light 50W for warehouse,Electrical
Supply and erection of fire hydrant yard valve 80mm as per approved make,Fire
Supply and fixing of displacement diffuser for mall,HVAC
Procurement and installation of sewage collection tank 2000L HDPE as per IS standards,PHE
Supply and erection of network switch 16 port PoE as per drawing,Other
Supply and installation of activated carbon filter for odour control with warranty,PHE
Supplying and fixing waterproof membrane for water tank with cementitious coating including testing and commissioning,Civil
Supply and erection of solar water heater 500LPD heat pump as per drawing,Other
Providing and laying telephone outlet RJ11 with face plate including labour and material,Electrical
Supplying and laying pressure pump 1.5HP for pressure boosting as per IS standards,Plumbing
Supply and fixing of interlocking paver block 60mm thick for courtyard as per approved make,Civil
Supplying and laying acrylic distemper 2 coats for staircase walls,Civil
Supply and fixing of fire survival cable 4 sqmm 2 core,Electrical
Supply and erection of fire sprinkler piping 80mm SS with supports with all fittings,Fire
Providing and installing flexible duct connector 400mm for blower as per drawing,HVAC
Installation and commissioning of automatic gate swing for compound as per drawing,Other
Providing fire alarm sounder voice alarm 95dB including testing and commissioning,Fire
Supplying and fixing SS floor drain 200mm square as per approved make,PHE
Installation and commissioning of TV outlet point with RG6 cabling as per drawing,Electrical
Supplying weatherproof switch socket IP55 rated as directed by engineer,Electrical
Providing and laying compound wall in brick masonry with coping stone as per IS standards,Civil
Supplying CCTV camera dome with analytics as per approved make,Other
Rate for baggage scanner CT scan for government building including labour and material,Other
Providing and laying LED flood light 150W for facade including labour and material,Electrical
Supply and installation of sand filter 1200mm for drinking water including all accessories,PHE
Procurement and installation of baggage scanner dual view for metro station as per specification,Other
Supplying and laying yard hydrant underground 63mm as per IS standards,Fire
Supply and fixing of portable fire extinguisher DCP 9kg including testing and commissioning,Fire
Supplying and laying swirl diffuser 300mm as directed by engineer,HVAC
Supply and erection of copper pipe 5/8 inch for AC refrigerant as per IS standards,Other
Supply and installation of cable management system wire mesh for data center as per approved make,Other
Installation of non return valve 50mm for water main as per approved make,Plumbing
Supplying and laying septic tank 1000L HDPE as per drawing,PHE
Supplying and fixing sewage ejector pump 1.5HP for sump with all fittings,PHE
Supplying pipe support channel type for chilled water as per drawing,HVAC
Procurement and installation of sewer line 300mm dia HDPE including labour and material,PHE
Supply and installation of kota stone flooring 20mm thick for staircase including all accessories,Civil
Procurement and installation of kitchen sink double bowl SS with soap dispenser as per specification,Plumbing
Supplying and fixing oil and grease separator 200L for parking with all fittings,PHE
Supply and erection of electronic fan regulator for wall mounted fan with warranty,Electrical
Supply and erection of toughened glass partition 10mm for conference room with all fittings,Civil
Installation of soak pit 2m dia 3m deep including all accessories,PHE
Supplying street light pole 8m with high mast fitting,Electrical
Supply and erection of kota stone flooring 25mm thick for verandah with warranty,Civil
Rate for grease trap 200L MS for food court as directed by engineer,PHE
Supplying and laying motorized rolling shutter aluminium for shop front as per specification,Other
Supplying and laying sound system 2.1 channel for classroom with warranty,Other
Supply and fixing of heat pump air source 15TR for heating including testing and commissioning,HVAC
Rate for aspirating smoke detection system for data center with warranty,Fire
Procurement and installation of fire rated cable 2.5mm for sounder circuit,Fire
Supplying and laying cable management system wire mesh for data center including labour and material,Other
Supplying pipe support channel type for chilled water as per specification,HVAC
Supply and erection of digital energy meter single phase with pulse output as per drawing,Electrical
Supply and installation of bath shower diverter with ceramic cartridge,Plumbing
Supply and fixing of copper pipe 1/4 inch for compressed air with warranty,Other
Providing and fixing signage board LED safety as per IS standards,Other
Installation and commissioning of concealed stop cock 20mm with ceramic cartridge including testing and commissioning,Plumbing
Supplying and fixing thermostat touchscreen for AC control including testing and commissioning,HVAC
Supply and erection of roof insulation with XPS board 100mm thick with all fittings,Civil
Supply and erection of refrigerant piping 1/2 inch with nitrogen purging as per drawing,HVAC
Supplying RCC M35 concrete for tie beam with all fittings,Civil
Supply and erection of egg crate grille 600x600mm aluminium as per specification,HVAC
Procurement and installation of flexible duct connector 600mm for AHU,HVAC
Rate for inspection chamber 900x900mm HDPE as directed by engineer,PHE
Providing fire alarm cable 2.5mm 2 core shielded including testing and commissioning,Fire
Installation of digital signage 65 inch for lobby as per specification,Other
Providing and laying expansion vessel 50L for condenser water system complete in all respects,HVAC
Supply and erection of lightning arrester conventional for school as per drawing,Other
Supplying and laying kitchen hood exhaust aluminium with fire suppression with all fittings,Other
Supplying and fixing GI pipe 15mm for fire line complete in all respects,Plumbing
Providing and laying standpipe system 80mm for high rise as per specification,Fire
Procurement and installation of sludge pump 2HP peristaltic as directed by engineer,PHE
Supply and fixing of deluge valve system 100mm for hangar including all accessories,Fire
Providing and installing LED cob light 12W recessed with housing as per drawing,Electrical
Supply and fixing of acoustic lining 25mm for plenum box as per IS standards,HVAC
Installation and commissioning of fire resistant paint coating for duct including all accessories,Fire
Supply and erection of drainage pipe 160mm DWC for subsoil drainage as per specification,PHE
Installation of drainage pipe 250mm HDPE for subsoil drainage,PHE
Procurement and installation of perforated pipe 100mm for subsoil drain with all fittings,PHE
Installation of fire pump test header with drain valve including all accessories,Fire
Providing flexible conduit 25mm with connectors as per drawing,Electrical
Providing and laying backflow preventer 150mm for storm water including all accessories,PHE
Supply and installation of smoke exhaust fan jet fan 300 degree rated with warranty,HVAC
Providing and installing LED cob light 12W recessed with driver including all accessories,Electrical
Supplying pressure pump 2HP for overhead tank filling as per IS standards,Plumbing
Supplying and laying air release valve 25mm for pumping main as per approved make,PHE
Supply and installation of boom barrier electromechanical for parking entrance as per approved make,Other
Providing and installing interlocking paver block 100mm thick for courtyard with all fittings,Civil
Supply and erection of automatic gate bollard for emergency exit complete in all respects,Other
Installation and commissioning of pre-insulated duct panel 25mm PUF board as per IS standards,HVAC
Installation of wet riser system piping 150mm with air release valve as per specification,Fire
Providing fire sprinkler upright type for office area as directed by engineer,Fire
Providing and laying SS floor drain 150mm square as per approved make,PHE
Procurement and installation of bottle trap 32mm brass for kitchen sink as per drawing,Plumbing
Providing and laying chilled water piping 50mm GI with insulation as per drawing,HVAC
Providing and installing condensate drain pipe 20mm PVC with trap with warranty,HVAC
Providing perforated face diffuser 300mm with all fittings,HVAC
Providing and installing pressure pump 1.5HP for garden irrigation with all fittings,Plumbing
Providing VRV outdoor unit 14HP for mall including labour and material,Other
Installation of signage board SS letters directional including labour and material,Other
Installation of power outlet 16A with flush back box and earth as per specification,Electrical
Supply and erection of precast concrete kerb stone along parking area including all accessories,Civil
Supplying automatic gate bollard for emergency exit with all fittings,Other
Supplying circuit breaker 16A SP for lighting as per specification,Electrical
Supply and erection of passenger lift 8 person gearless as directed by engineer,Other
Installation of water tank float valve 25mm gun metal including labour and material,Plumbing
Supplying chilled water piping 150mm HDPE with insulation with warranty,HVAC
Providing and laying wall mixer with body spray with all fittings,Plumbing
Installation and commissioning of double deflection grille 600x600mm aluminium including labour and material,HVAC
Providing and fixing MCB 20A single pole for motor circuit as per IS standards,Electrical
Supplying and laying bollard light pole mounted with CFL lamp with warranty,Electrical
Providing and installing solar water heater 1000LPD FPC as per IS standards,Other
Installation and commissioning of AAC block 100mm for internal partition as directed by engineer,Civil
Providing and laying lightning arrester conventional for warehouse including labour and material,Other
Supplying and laying packaged STP 10KLD containerized complete in all respects,PHE
Supply and erection of PVC gully trap 75mm for bathroom,PHE
Providing earth work excavation in hard rock for drainage as per IS standards,Civil
Installation of pillar cock swan neck for kitchen sink complete in all respects,Plumbing
Providing and installing jockey pump 10HP for fire system,Fire
Providing and fixing STP plant 500KLD SBR technology with all fittings,PHE
Supply and fixing of video door phone colour for villa gate including labour and material,Other
Providing and laying modular switch and socket 10A with gang box including labour and material,Electrical
Supply and erection of lightning arrester mesh type for warehouse as per specification,Other
Installation and commissioning of changeover switch 32A 2 pole manual as per approved make,Electrical
Supply and fixing of bus bar trunking system 800A aluminium as per IS standards,Electrical
Supplying cable tray 200mm wide ladder with supports as directed by engineer,Electrical
Supplying and laying roof insulation with XPS board 100mm thick,Civil
Supplying and laying digital signage 65 inch for reception including labour and material,Other
Providing and fixing RCC drain 300x300mm with perforated cover as directed by engineer,PHE
Supplying and laying earth work excavation in ordinary soil for drainage as per IS standards,Civil
Providing and fixing beam detector for fire alarm 30m range as per IS standards,Fire
Installation of angle valve 20mm CP heavy duty for wash basin as per drawing,Plumbing
Supply and installation of jockey pump 7.5HP for wet riser including testing and commissioning,Fire
Installation and commissioning of battery bank 200AH SMF for DG starting including labour and material,Other
Supply and erection of gypsum board false ceiling with aluminium grid framework with all fittings,Civil
Rate for STP control panel SCADA with alarm system including labour and material,Other
Supplying building management system for lighting control as per approved make,Other
Providing and installing storm water drain pipe 300mm RCC as per approved make,PHE
Supplying and fixing fire alarm integration with BMS including all accessories,Other
Supplying and laying IBMS integration for fire and security as per approved make,Other
Supplying and laying activated carbon filter for effluent treatment including labour and material,PHE
Supplying and laying acoustic lining 25mm for duct interior with warranty,HVAC
Installation of kitchen hood exhaust SS with grease filter as per approved make,Other
Supply and erection of cable tray 600mm wide solid bottom with supports including testing and commissioning,Electrical
Supply and erection of pressure reducing valve 20mm for water main including testing and commissioning,Plumbing
Providing and laying fire hose reel with 36m hose,Fire
Procurement and installation of kitchen faucet pull down with aerator including labour and material,Plumbing
Supply and installation of UPVC casement window with mosquito mesh complete in all respects,Civil
Installation of UPVC fixed window with tinted glass as per approved make,Civil
Installation and commissioning of elevator service 6 person hydraulic as per IS standards,Other
Supply and erection of kota stone flooring 40mm thick for corridor as directed by engineer,Civil
Supply and installation of fire alarm sounder electromechanical 110dB as per approved make,Fire
Supplying and laying flush cock 32mm push button for WC as per specification,Plumbing
Providing PVC pipe 160mm for basin waste as per drawing,Plumbing
Supplying urinal with sensor flush valve as per approved make,Plumbing
Providing epoxy flooring 1mm thick for warehouse as per drawing,Civil
Installation and commissioning of perforated pipe 200mm for leach field as per approved make,PHE
Providing and laying fire stop sealant for duct penetration including labour and material,Fire
Supply and installation of lightning arrester with copper strip and earth pit,Electrical
Supplying fire exit signage photoluminescent with arrow as per drawing,Fire
Supply and erection of VRV outdoor unit 14HP for hotel as per IS standards,Other
Supply and erection of flexible duct connector 600mm for blower as per drawing,HVAC
Supplying fire hose cabinet GI with extinguisher space as per IS standards,Fire
Supplying fire hydrant branch pipe with jet spray nozzle including testing and commissioning,Fire
Supply and installation of fire sprinkler upright type for server room with all fittings,Fire
Providing and fixing check valve 15mm ball type for pump discharge,Plumbing
Supplying and fixing gas suppression system IG55 for data center as per approved make,Fire
Providing activated carbon filter for effluent treatment with all fittings,PHE
Providing ACP cladding 4mm for column cladding including labour and material,Other
Supplying plastering 20mm thick cement sand mortar for ceiling as per drawing,Civil
Supplying return air duct GI with filter with warranty,HVAC
Rate for wall mixer with hand shower as per drawing,Plumbing
Supplying and fixing junction box with screw connectors and cover,Electrical
Providing and installing air valve 25mm for rising main with all fittings,Plumbing
Supply and fixing of water level sensor for sump as per drawing,PHE
Procurement and installation of stone cladding 15mm for lobby wall as per IS standards,Civil
Supply and fixing of fire hose reel with 25m hose with all fittings,Fire
Providing and installing concealed shower mixer with overhead shower including labour and material,Plumbing
Supply and erection of car park ventilation jet fan for underground parking including labour and material,Other
Supplying and laying interlocking paver block 100mm thick for courtyard including testing and commissioning,Civil
Supplying and laying check valve 50mm ball type for solar system with all fittings,Plumbing
Supply and fixing of gate valve 20mm SS for tank inlet as per approved make,Plumbing
Rate for sludge pump 1HP peristaltic with warranty,PHE
Procurement and installation of anti termite treatment for foundation with warranty,Civil
Supplying primer coat and enamel paint for MS door frame with all fittings,Civil
Supplying and laying condensate drain pipe 32mm PVC with trap with warranty,HVAC
Providing acrylic distemper 3 coats for internal walls with warranty,Civil
Procurement and installation of PVC pipe 160mm for vent stack as per approved make,Plumbing
Supplying concealed shower mixer with overhead shower including all accessories,Plumbing
Procurement and installation of sliding bar shower 300mm with holder as directed by engineer,Plumbing
Procurement and installation of cooling tower FRP induced draft 30TR capacity as per approved make,HVAC
Installation and commissioning of sewer line 100mm dia DWC as per specification,PHE
Providing and fixing RCC M30 concrete for lintel beam as per approved make,Civil
Rate for bath shower diverter with chrome finish with warranty,Plumbing
Installation of battery operated emergency light with twin head including testing and commissioning,Electrical
Rate for sewer line 300mm dia PVC as per IS standards,PHE
Supplying and laying toughened glass partition 12mm for conference room including testing and commissioning,Civil
Supply and fixing of cement fibre board for partition wall as per drawing,Civil
Rate for signage board LED directional as per IS standards,Other
Providing and installing CCTV camera bullet with night vision as directed by engineer,Other
Supply and fixing of jet nozzle diffuser for mall including all accessories,HVAC
Providing displacement diffuser for atrium complete in all respects,HVAC
Installation of cooling tower FRP 200TR as per specification,Other
Providing power outlet 32A with surface back box and earth as per IS standards,Electrical
Rate for UPS power socket with isolated circuit complete in all respects,Electrical
Supplying and laying sludge pump 3HP centrifugal with all fittings,PHE
Supply and fixing of refrigerant piping 3/8 inch with flaring and testing as directed by engineer,HVAC
Supplying and fixing cast resin transformer 1000KVA with metering with warranty,Electrical
Supply and erection of fire sprinkler flush type for hospital ward as per drawing,Fire
Providing submersible sewage pump 3HP with float switch complete in all respects,PHE
Providing and laying energy recovery ventilator 2000 CFM with controls as per drawing,HVAC
Rate for armoured cable 3 core 25 sqmm underground as per specification,Electrical
Supply and installation of wet riser system piping 150mm with drain valve including labour and material,Fire
Supplying water tank float valve 25mm PVC as per IS standards,Plumbing
Providing and laying ceramic wall tile 300x450mm for utility area as per approved make,Civil
Procurement and installation of air curtain 900mm for cold room door including testing and commissioning,HVAC
Supplying and laying programmable timer switch for garden lighting as per approved make,Electrical
Supplying pressure reducing valve 50mm for pump discharge as per approved make,Plumbing
Supply and fixing of fire sprinkler flush type for hospital ward with warranty,Fire
Providing cable management system wire mesh for factory complete in all respects,Other
Supplying and fixing automatic telescopic door for main entrance including all accessories,Other
Providing and laying activated carbon filter for STP polishing as per specification,PHE
Providing and installing vent pipe 75mm CI complete in all respects,PHE
Supply and erection of heat detector rate of rise for boiler room including testing and commissioning,Fire
Supply and erection of rainwater harvesting first flush diverter for storage as per approved make,PHE
Supplying and fixing exterior cement based paint 2 coats for parapet including all accessories,Civil
Installation of sludge pump 5HP diaphragm including all accessories,PHE
Providing sewage ejector pump 3HP for basement toilet including labour and material,PHE
Supply and erection of fire pump suction pipe 100mm with eccentric reducer including testing and commissioning,Fire
Providing cable laying XLPE 4 core 2.5 sqmm including labour and material,Electrical
Providing RCC M40 grade concrete for staircase with warranty,Civil
Supply and erection of battery bank 12AH gel for UPS including testing and commissioning,Other
Supplying and fixing water softener automatic for whole house with all fittings,Plumbing
Supplying and laying sand filter 900mm for STP tertiary treatment as per drawing,PHE
Providing fire hose cabinet MS with hose reel including all accessories,Fire
Supply and fixing of concrete block 100mm hollow for compound wall with warranty,Civil
Providing and laying RCC M25 concrete for plinth beam including labour and material,Civil
Procurement and installation of modular switch and socket 16A with PVC box as per approved make,Electrical
Supply and erection of water mist fire suppression for library including all accessories,Fire
Supplying and fixing heat pump air source 15TR for heating with warranty,HVAC
Providing and fixing fire pump controller panel star delta with flow switch including testing and commissioning,Fire
Rate for drainage pipe 200mm PVC for sewage including labour and material,PHE
Supplying and laying bottle trap 40mm chrome plated for wash basin with all fittings,Plumbing
Installation of bottle trap 32mm SS for wash basin,Plumbing
Supply and erection of raised access flooring 500x500mm for office with all fittings,Other
Supply and installation of air release valve 25mm for pumping main as per specification,PHE
Rate for UPVC fixed window with mosquito mesh as per IS standards,Civil
Supply and fixing of vitrified tile 800x800mm for reception flooring as per specification,Civil
Supply and installation of roof insulation with EPS board 25mm thick as per drawing,Civil
Supply and installation of queue management system for service center as per drawing,Other
Supplying and fixing cable termination and heat shrinking for armoured cable,Electrical
Supply and fixing of MCB 32A single pole for lighting circuit,Electrical
Supply and fixing of cement concrete 1:2:4 for floor slab including labour and material,Civil
Procurement and installation of nurse call system wireless for hospital ward including testing and commissioning,Other
Supplying and fixing intercom system video for school as per drawing,Other
Installation and commissioning of refrigerant leak detector for chiller system,HVAC
Providing and installing ceiling cassette AC unit 1 ton with drain pump as per specification,HVAC
Installation and commissioning of motorized screen 100 inch for classroom with warranty,Other
Providing and laying HDPE pipe 160mm for water supply with all fittings,PHE
Supply and erection of septic tank 1000L HDPE including testing and commissioning,PHE
Supply and erection of non return valve 200mm for effluent line complete in all respects,PHE
Supplying HDPE pipe 63mm for sewage including all accessories,Plumbing
Supplying and laying fire stop sealant for joint sealing as directed by engineer,Fire
Providing motorized fire damper 300x200mm complete in all respects,HVAC
Supplying and laying PVC pipe 75mm for basin waste as per approved make,Plumbing
Supply and installation of digital signage 43 inch for retail store as per IS standards,Other
Supply and fixing of digital signage 43 inch for lobby complete in all respects,Other
Installation of refrigerant piping 1/4 inch with flaring and testing,HVAC
Providing strainer valve 80mm basket type for pump suction as per IS standards,Plumbing
Supply and erection of septic tank 5000L RCC including all accessories,PHE
Rate for copper pipe 3/8 inch for medical gas complete in all respects,Other
Supply and erection of damp proof course with liquid applied membrane as per approved make,Civil
Supplying and laying water softener manual for supply line as per IS standards,Plumbing
Supplying and laying PVC gully trap 75mm for balcony as per drawing,PHE
Providing HDPE geomembrane 2mm for tank lining including all accessories,PHE
Rate for fire sprinkler piping 50mm MS with grooved couplings as per specification,Fire
Installation of network switch 24 port managed including all accessories,Other
Supply and fixing of pressure reducing valve 25mm for floor distribution,Plumbing
Rate for duct insulation 50mm mineral wool with GI cladding with warranty,HVAC
Supplying and laying copper refrigerant piping 1/4 inch with insulation as per drawing,HVAC
Providing and installing butterfly valve 150mm for tank outlet as per drawing,Plumbing
Supply and fixing of butterfly valve 100mm for pump suction including testing and commissioning,Plumbing
Providing and installing yard hydrant single headed 80mm with warranty,Fire
Providing and installing yard hydrant underground 100mm with warranty,Fire
Supplying and fixing HDPE geomembrane 1.5mm for canal lining,PHE
Supplying storm water drain in RCC with grating with warranty,Civil
Supplying heat detector rate of rise for boiler room as per approved make,Fire
Providing and installing smoke detector conventional for corridor as per IS standards,Fire
Providing single flush flush cistern for Indian WC complete in all respects,Plumbing
Providing sound system ceiling speaker for conference room including labour and material,Other
Providing and laying chilled water piping 100mm GI with insulation with warranty,HVAC
Providing and laying ceiling mounted transfer grille 450x450mm as per drawing,HVAC
Providing beam detector for fire alarm 50m range complete in all respects,Fire
Providing nahani trap 110mm SS with all fittings,PHE
Providing and fixing fire alarm repeater panel for security room with warranty,Fire
Supplying and laying gas suppression system IG541 for server room with all fittings,Fire
Rate for primer coat and enamel paint for MS grille including testing and commissioning,Civil
Supply and erection of elevator hospital bed 20 person MRL as per approved make,Other
Procurement and installation of raised access flooring 600x600mm for office with warranty,Other
Supply and fixing of cable gland brass type for unarmoured cable as directed by engineer,Electrical
Supplying and laying jockey pump 5HP for sprinkler system including testing and commissioning,Fire
Supplying canvas duct connector for misalignment correction,HVAC
Procurement and installation of strainer valve 50mm T type for water main including testing and commissioning,Plumbing
Supplying smoke exhaust fan axial 300 degree rated with all fittings,HVAC
Supplying and fixing BMS controller for fire alarm monitoring complete in all respects,HVAC
Supplying and laying non return valve 25mm for hot water line complete in all respects,Plumbing
Procurement and installation of sewage collection tank 2000L HDPE,PHE
Installation and commissioning of bathroom mirror with magnifying panel as directed by engineer,Plumbing
Providing raised access flooring 500x500mm for control room complete in all respects,Other
Supply and fixing of IBMS integration for fire and security with warranty,Other
Supplying and laying gypsum board partition 125mm with rockwool infill as per specification,Civil
Supply and installation of bar screen for pump station mechanical as per IS standards,PHE
Supplying and laying single lever shower mixer antique brass as per IS standards,Plumbing
Installation of aluminium awning window with 10mm glass as per drawing,Civil
Providing fire rated cable 4mm for control circuit as per IS standards,Fire
Providing and fixing APFC panel for power factor correction 12 step with warranty,Electrical
Supply and erection of cement concrete 1:2:4 for chajja as per IS standards,Civil
Supply and erection of LED flood light 100W for warehouse as per specification,Electrical
Providing and installing manual mixing valve for kitchen sink with all fittings,Plumbing
Installation and commissioning of fire exit signage photoluminescent exit text as per specification,Fire
Providing anti termite treatment for plinth area as per drawing,Civil
Providing and installing cement concrete 1:2:4 for floor slab as per IS standards,Civil
Supplying water level sensor for STP tank complete in all respects,PHE
Procurement and installation of MS railing for staircase with SS finish with all fittings,Civil
Procurement and installation of RCC drain 200x200mm with cover slab including labour and material,PHE
Procurement and installation of floor trap 110mm with hinged grating as per drawing,Plumbing
Providing and fixing gypsum board false ceiling with concealed grid framework with warranty,Civil
Providing and fixing LED troffer light 12W surface mounted with warranty,Electrical
Procurement and installation of fire alarm control panel 2 zone analogue addressable with all fittings,Fire
Supply and installation of cable gland SS type for unarmoured cable as directed by engineer,Electrical
Providing and laying fire survival cable 4 sqmm 2 core with warranty,Electrical
Providing and fixing cement concrete 1:2:4 for roof slab casting as per drawing,Civil
Supply and erection of dry cooler 50KW for dry cooler mode as directed by engineer,HVAC
Providing fresh air handling unit 500 CFM with enthalpy wheel including labour and material,HVAC
Supply and fixing of air washer unit 2000 CFM for air washing,HVAC
